School Name,School Number,Closed,School Street,School City,School State,School Zip,School Email,School Website,School Phone,School Fax,Principal Name,Principal Name (last),Principal Prefix,Principal Title,Grade Low,Grade High,Enrollment,School Accreditations,Diocese Name,Diocese Code,Diocese Street,Diocese City,Diocese State,Diocese Zip,Diocese Email,Diocese Website,Diocese Phone,Diocese Fax,Diocese Contact Name,Diocese Contact Name (last),Diocese Contact Prefix,Diocese Contact Title,District Name,District Number,District Type,District Enrollment,District Street,District City,District State,District Zip,District Email,District Website,District Phone,District Fax,District Contact Name,District Contact Name (last),District Contact Prefix,District Contact Title,County Name,County Number,Region Name
Advent Ridge Academy,105179101,FALSE,1523 Ranch RD 12,San Marcos,TX,78666,suess@smaja.org,www.adventridge.org,(512) 392-9475,(512) 392-2693,Carrie Suess,,,,Pre-K,10,46,TSDA : 1979,,,,,,,,,,,,,,,SAN MARCOS CISD,105902,INDEPENDENT,7534,P O BOX 1087,SAN MARCOS,TX,78667-1087,mark.eads@smcisd.net,www.smcisd.net,(512) 393-6744,(512) 393-6709,MR MARK EADS   ,,,Superintendent,Hays,105,13
AESA Prep Academy,227109001,FALSE,14101 Canonade,Austin,TX,78737,bgarza@aesaprepacademy.com,www.aesaprepacademy.org,(512) 560-5584,(512) 824-4461,Barbara Garza,,,,Kindergarten,12,0,COGNIA : 2011,,,,,,,,,,,,,,,AUSTIN ISD,227901,INDEPENDENT,86516,1111 W 6TH ST,AUSTIN,TX,78703-5399,superintendent@austinisd.org,www.austinisd.org,(512) 414-1700,(512) 414-1486,DR MERIA J CARSTARPHEN   ,,,Superintendent,Travis,227,13
AESA Prep International (Digital Learning School),105300001,FALSE,13730 W Highway 290,Austin,TX,78737,bgarza@aesapepacademy.com,http://aesaprepinternational.com/,(512) 560-5584,,Ms. Barbara Garza,,,,9,12,3,COGNIA : 2016,,,,,,,,,,,,,,,AUSTIN ISD,227901,INDEPENDENT,86516,1111 W 6TH ST,AUSTIN,TX,78703-5399,superintendent@austinisd.org,www.austinisd.org,(512) 414-1700,(512) 414-1486,DR MERIA J CARSTARPHEN   ,,,Superintendent,Hays,105,13
Agape Christian School,243137102,TRUE,5600 Burkburnett Rd,Wichita Falls,TX,76306,drburtacs@wfbiz.rr.com,www.acs-wf.org,(940) 851-6727,(940) 851-6592,Dr. Paula Burt,,,,Kindergarten,12,0,ICAA : 1999,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Wichita,243,
Akiba Yavneh Academy of Dallas,57187101,FALSE,12324 Merit Drive,Dallas,TX,75251,hmoodley@akibayavneh.org,www.akibaacademy.org,(214) 295-3400,(214) 295-3405,Heather Moodley,,,,Pre-K,12,380,COGNIA : 1992 | TAAPS : 1998,,,,,,,,,,,,,,,DALLAS ISD,57905,INDEPENDENT,158932,3700 ROSS AVE,DALLAS,TX,75204-5491,arodriguez@dallasisd.org,www.dallasisd.org,(972) 925-3700, ,MIKE MILES   ,,,Superintendent,Dallas,57,10
Al-Hadi School of Accelerated Learning,101268101,FALSE,14855 Richmond Ave.,Houston,TX,77082,alhadi@alhadi.com,www.alhadi.com,(832) 617-8363,(713) 513-5315,Seyed Alireza Abedi,,,,Pre-K,12,269,COGNIA : 2001,,,,,,,,,,,,,,,ALIEF ISD,101903,INDEPENDENT,45783,P O BOX 68,ALIEF,TX,77411-0068,hd.chambers@aliefisd.net,www.aliefisd.net,(281) 498-8110 ext. 2000,(281) 575-1923,MR H D CHAMBERS   ,,,Superintendent,Harris,101,4
Al-Hedayah Academy,220190001,TRUE,8602 Randol Mill Rd,Fort Worth,TX,76120,achatila@hedayah.com,www.hedayah.com,(817) 265-6667,(817) 795-0381,Abir Chatila ,,,,Pre-K,8,0,COGNIA : 2003,,,,,,,,,,,,,,,ARLINGTON ISD,220901,INDEPENDENT,65001,1203 W PIONEER PKWY,ARLINGTON,TX,76013-6246,mcavazos@aisd.net,www.aisd.net,(682) 867-4611,(817) 459-7299,DR MARCELO CAVAZOS   ,,,Superintendent,Tarrant,220,11
Alcuin School,57203101,FALSE,6144 Churchill Way,Dallas,TX,75230,walter.sorensen@alcuinschool.org,www.alcuinschool.org,(972) 239-1745,(972) 934-8727,Walter Sorensen,,,,Pre-K,12,573,ISAS : 1999 | ISAS : 2009 | ISAS : 2019,,,,,,,,,,,,,,,DALLAS ISD,57905,INDEPENDENT,158932,3700 ROSS AVE,DALLAS,TX,75204-5491,arodriguez@dallasisd.org,www.dallasisd.org,(972) 925-3700, ,MIKE MILES   ,,,Superintendent,Dallas,57,10
Aledo Christian School,184160001,TRUE,400 Queen St.,Aledo,TX,76008,acseagles@att.net,www.aledochristian.org,(817) 441-7357,(817) 441-2713,Kay Ross,,,,Kindergarten,12,88,ICAA : 2007 | COGNIA : 2011,,,,,,,,,,,,,,,ARLINGTON ISD,220901,INDEPENDENT,65001,1203 W PIONEER PKWY,ARLINGTON,TX,76013-6246,mcavazos@aisd.net,www.aisd.net,(682) 867-4611,(817) 459-7299,DR MARCELO CAVAZOS   ,,,Superintendent,Tarrant,220,11
Alexander-Smith High School,101182001,FALSE,10255 Richmond Ave,Houston,TX,77042,,,(713) 266-0920,(713) 266-8857,Margaret W DeLa Garza,,,,9,12,0,COGNIA : 1976,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Alexander-Smith Virtual Academy (Digital Learning),101215001,TRUE,10255 Richmond Avenue Suite 100,Houston,TX,77042,dwandix@alexandersmith.com,www.alexandersmith.com,(713) 266-0920,(713) 266-8857,Diana Wandix,,,,1,12,100,COGNIA : 2013,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
All Saints Catholic School Dallas,57100140,FALSE,7777 Osage Plaza Pkwy,Dallas,TX,75252,sdruffner@allsaintsk8.org,www.allsaintsk8.org,(214) 217-3300,(214) 217-3339,Shana Druffner,,,,Kindergarten,8,404,TCCB ED : 1986,Diocese of Dallas,DA,7777 Osage Plaza Pkwy,Dallas,TX,75252,sdruffner@allsaintsk8.org,www.allsaintsk8.org,(214) 217-3300,(214) 217-3339,Shana Druffner,,,,DALLAS ISD,57905,INDEPENDENT,158932,3700 ROSS AVE,DALLAS,TX,75204-5491,arodriguez@dallasisd.org,www.dallasisd.org,(972) 925-3700, ,MIKE MILES   ,,,Superintendent,Collin,43,10
All Saints Catholic School Fort Worth,220100101,FALSE,2006 N Houston ST,Fort Worth,TX,76164,aprado@ascsfw.org,www.allsaintscatholicschool.org,(817) 624-2670,(817) 624-1221,Mrs. Arica Prado,,,,Pre-K,8,132,TCCB ED : 1955,Diocese of Fort Worth,FW,2006 N Houston ST,Fort Worth,TX,76164,aprado@ascsfw.org,www.allsaintscatholicschool.org,(817) 624-2670,(817) 624-1221,Mrs. Arica Prado,,,,FORT WORTH ISD,220905,INDEPENDENT,83503,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,web@FWISD.ORG,www.fwisd.org,(817) 815-2000,(817) 815-2112,MR WALTER DANSBY   ,,,Superintendent,Tarrant,220,11
All Saints Episcopal School Beaumont,123136101,FALSE,4108 Delaware,Beaumont,TX,77706,sclark@allsaints-beaumont.ort,www.allsaints-beaumont.org,(409) 892-1755,(409) 892-0166,Catherine Clark,,,,Pre-K,8,391,SAES : 1988,,,,,,,,,,,,,,,BEAUMONT ISD,123910,INDEPENDENT,19850,3395 HARRISON AVE,BEAUMONT,TX,77706-5009,tchargo@beaumont.k12.tx.us,www.bmtisd.com/,(409) 617-5000,(409) 617-5184,DR TIMOTHY B CHARGOIS   ,,,Superintendent,Jefferson,123,5
All Saints Episcopal School Fort Worth,220136101,FALSE,9700 Saints Circle,Fort Worth,TX,76108,tadbird@aseschool.org,www.aseschool.org,(817) 560-5700,(817) 560-5717,Thaddeus B. Bird,,,,Pre-K,12,"1,028",ISAS : 1989 | SAES : 1989 | ISAS : 1999 | ISAS : 2009 | SAES : 2009 | ISAS : 2019,,,,,,,,,,,,,,,FORT WORTH ISD,220905,INDEPENDENT,83503,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,web@FWISD.ORG,www.fwisd.org,(817) 815-2000,(817) 815-2112,MR WALTER DANSBY   ,,,Superintendent,Tarrant,220,11
All Saints Episcopal School Lubbock,152136001,FALSE,3222 103rd Street,Lubbock,TX,79423,rbrashear@allsaintsschool.org,www.allsaintsschool.org,(806) 745-7701,(806) 748-0454,Dr. Robert Brashear,,,,Pre-K,12,484,SAES : 1988,,,,,,,,,,,,,,,LUBBOCK ISD,152901,INDEPENDENT,29219,1628 19TH ST,LUBBOCK,TX,79401-4895,superintendent@lubbockisd.org,www.lubbockisd.org,(806) 766-1000,(806) 766-1210,DR BERHL ROBERTSON   ,,,Superintendent,Lubbock,152,17
All Saints Episcopal School Tyler,212136101,FALSE,2695 S SW Loop 323,Tyler,TX,75701,mcobb@all-saints.org,www.all-saints.org,(903) 579-6000,(903) 579-6002,Michael Cobb,,,,Pre-K,12,635,SAES : 1980 | ISAS : 2009 | SAES : 2009 | ISAS : 2018,,,,,,,,,,,,,,,TYLER ISD,212905,INDEPENDENT,18263,P O BOX 2035,TYLER,TX,75710-2035,gina.orr@tylerisd.org,www.tylerisd.org,(903) 262-1000,(903) 262-1178,MR GARY MOORING   ,,,Superintendent,Smith,212,7
All Saints' Episcopal Day School Austin,227130101,FALSE,209 W 27th ST,Austin,TX,78705,allsaintseds@gmail.com,www.allsaints-austin.org,(512) 478-8866,(512) 475-5215,GiGi Khalsa,,,,Pre-K,Kindergarten,43,SAES : 1977,,,,,,,,,,,,,,,AUSTIN ISD,227901,INDEPENDENT,86516,1111 W 6TH ST,AUSTIN,TX,78703-5399,superintendent@austinisd.org,www.austinisd.org,(512) 414-1700,(512) 414-1486,DR MERIA J CARSTARPHEN   ,,,Superintendent,Travis,227,13
Allen Academy,21181101,FALSE,3201 Boonville Rd,Bryan,TX,77802,mnotaro@allenacademy.org,www.allenacademy.org,(979) 776-0731,(979) 774-7769,Mike Notaro,,,,Pre-K,12,320,ISAS : 2017,,,,,,,,,,,,,,,BRYAN ISD,21902,INDEPENDENT,15624,101 N TEXAS AVE,BRYAN,TX,77803-5398,thomas.wallis@bryanisd.org,www.bryanisd.org,(979) 209-1000,(979) 209-1050,DR THOMAS A WALLIS   ,,,Superintendent,Brazos,21,6
Alliance Christian Academy,220106001,FALSE,13105 Harmon Road,Ft. Worth,TX,76177,info@aca-littlesprouts.com,www.aca-littlesprouts.com,(817) 840-3468,(817) 840-7657,Heather Bundy,,,,Kindergarten,7,97,COGNIA : 2013,,,,,,,,,,,,,,,KELLER ISD,220907,INDEPENDENT,33367,350 KELLER PKWY,KELLER,TX,76248-3447,randy.reid@kellerisd.net,www.kellerisd.net,(817) 744-1000,(817) 337-3261,DR RANDY REID   ,,,Superintendent,Tarrant,220,11
Alpha Omega Academy,236120001,FALSE,3891 HWY. 30 West,Huntsville,TX,77340,aoa123@sbcglobal.net,www.alphaomegaacademy.org,(936) 438-8833,(936) 438-8844,Paul Davidhizar,,,,Kindergarten,12,388,TAAPS : 2019,,,,,,,,,,,,,,,HUNTSVILLE ISD,236902,INDEPENDENT,6350,441 FM 2821 E,HUNTSVILLE,TX,77320-9298,cbrown@huntsville-isd.org,www.huntsville-isd.org/,(936) 435-6300,(936) 291-3444,DR STEVE JOHNSON   ,,,Superintendent,Walker,236,6
Alpine Christian School,22110001,FALSE,203 N. 4th St.,Alpine,TX,79830,tifanyh@alpinechristianschool.com,www.alpinechristianschool.com,(432) 837-5757,(432) 837-9057,Caroline Luna,,,,Pre-K,12,54,TAAPS : 2013,,,,,,,,,,,,,,,ALPINE ISD,22901,INDEPENDENT,1093,704 W SUL ROSS AVE,ALPINE,TX,79830-4430,swhite@alpine.esc18.net,www.alpine.esc18.net/,(432) 837-7700,(432) 837-7740,STEPHEN WHITE   ,,,Superintendent,Brewster,22,18
Ambleside School of Fredericksburg,86109001,FALSE,106 South Edison St,Fredericksburg,TX,78624,administration@amblesidefredericksburg.com,www.amblesidefredericksburg.com,(830) 990-9059,(877) 471-4957,Brittany Durst,,,,Kindergarten,12,61,ACTS : 2016,,,,,,,,,,,,,,,FREDERICKSBURG ISD,86901,INDEPENDENT,2990,234 FRIENDSHIP LN,FREDERICKSBURG,TX,78624-5053,marc@fisd.org,www.fisd.org/,(830) 997-9551,(830) 997-6164,DR MARC WILLIAMSON   ,,,Superintendent,Gillespie,86,13
Ambleside School of San Angelo,226109001,FALSE,511 W. Harris Ave.,San Angelo,TX,76903,HOS@amblesidesanangelo.com,www.amblesidesanangelo.wordpress.com,(325) 659-1654,(325) 658-8340,Tara Flora,,,,Kindergarten,12,70,ACTS : 2013,,,,,,,,,,,,,,,SAN ANGELO ISD,226903,INDEPENDENT,14758,1621 UNIVERSITY AVE,SAN ANGELO,TX,76904-5164,superintendent@saisd.org,www.saisd.org/,(325) 947-3700,(325) 947-3771,DR CAROL BONDS   ,,,Superintendent,Tom Green,226,15
American Preparatory Institute-Central Campus Killeen,14181001,TRUE,P O BOX 1800,Killeen,TX,76540,Colvin.Davis@ctcd.edu,www.ctcd.edu,(254) 526-1390,(254) 526-0817,Colvin Davis,,,,12,,0,COGNIA : 1980,,,,,,,,,,,,,,,KILLEEN ISD,14906,INDEPENDENT,41756,P O BOX 967,KILLEEN,TX,76540-0967,Robert.Muller@killeenisd.org,www.killeenisd.org,(254) 336-0006,(254) 526-3103,DR ROBERT MULLER   ,,,Superintendent,Bell,14,12
American Preparatory Institute-Navy Campus Atlantic,14181101,TRUE,P O BOX 1800,Killeen,TX,76540,,,(254) 526-1390,(254) 526-0817,Kenneth Austin,,,,12,,0,COGNIA : 1980,,,,,,,,,,,,,,,KILLEEN ISD,14906,INDEPENDENT,41756,P O BOX 967,KILLEEN,TX,76540-0967,Robert.Muller@killeenisd.org,www.killeenisd.org,(254) 336-0006,(254) 526-3103,DR ROBERT MULLER   ,,,Superintendent,Bell,14,12
American Preparatory Institute-Navy Campus Pacific,14181041,TRUE,P O BOX 1800,Killeen,TX,76540,,,(254) 526-1390,(254) 526-0817,Kenneth P Woodward,,,,12,,0,COGNIA : 1980,,,,,,,,,,,,,,,KILLEEN ISD,14906,INDEPENDENT,41756,P O BOX 967,KILLEEN,TX,76540-0967,Robert.Muller@killeenisd.org,www.killeenisd.org,(254) 336-0006,(254) 526-3103,DR ROBERT MULLER   ,,,Superintendent,Bell,14,12
American Preparatory Institute-Pacific Far East,14181102,TRUE,P O BOX 1800,Killeen,TX,76540,,,(254) 525-1390,(254) 526-0817,Barbara Grice,,,,12,,0,COGNIA : 1980,,,,,,,,,,,,,,,KILLEEN ISD,14906,INDEPENDENT,41756,P O BOX 967,KILLEEN,TX,76540-0967,Robert.Muller@killeenisd.org,www.killeenisd.org,(254) 336-0006,(254) 526-3103,DR ROBERT MULLER   ,,,Superintendent,Bell,14,12
Angelo Catholic School,226100107,FALSE,2315 A & M Ave.,San Angelo,TX,76904,ggonzales@angelocatholicschool.org,www.angelocatholicschool.org,(325) 949-1747,(325) 949-1547,Gracie Gonzales,,,,Pre-K,6,99,TCCB ED : 1966,Diocese of San Angelo,SN,2315 A & M Ave.,San Angelo,TX,76904,ggonzales@angelocatholicschool.org,www.angelocatholicschool.org,(325) 949-1747,(325) 949-1547,Gracie Gonzales,,,,SAN ANGELO ISD,226903,INDEPENDENT,14758,1621 UNIVERSITY AVE,SAN ANGELO,TX,76904-5164,superintendent@saisd.org,www.saisd.org/,(325) 947-3700,(325) 947-3771,DR CAROL BONDS   ,,,Superintendent,Tom Green,226,15
Angleton Christian School,20130001,FALSE,976 Anchor Road,Angleton,TX,77515,gsmith@acs4me.org,www.angletonchristian.org,(979) 864-3842,,Gordon Smith,,,,Pre-K,12,319,ACTABS : 2010 | ACTABS : 2014,,,,,,,,,,,,,,,ANGLETON ISD,20902,INDEPENDENT,6498,1900 N DOWNING RD,ANGLETON,TX,77515-3799,slopez@angletonisd.net,www.angletonisd.net,(979) 864-8000,(979) 864-8070,DR PATRICIA WALKER   ,,,Superintendent,Brazoria,20,4
Ann and Nate Levine Academy-A Solomon Schechter School,57147101,FALSE,18011 Hillcrest Rd,Dallas,TX,75252,fnathan@levineacademy.org,www.levineacademy.org ,(972) 248-3032,(972) 248-0695,Frederick Nathan,,,,Pre-K,8,0,COGNIA : 1987,,,,,,,,,,,,,,,DALLAS ISD,57905,INDEPENDENT,158932,3700 ROSS AVE,DALLAS,TX,75204-5491,arodriguez@dallasisd.org,www.dallasisd.org,(972) 925-3700, ,MIKE MILES   ,,,Superintendent,Dallas,57,10
Annapolis Christian Academy,178900001,FALSE,3875 South Staples Street,Corpus Christi,TX,78411,ty.hensley@aca-cc.org,www.aca-cc.org,(361) 991-6004,(361) 232-5692,Ty Hensley,,,,Kindergarten,12,0,ACCS : 2009 | ACCS : 2016,,,,,,,,,,,,,,,CORPUS CHRISTI ISD,178904,INDEPENDENT,39213,P O BOX 110,CORPUS CHRISTI,TX,78403-0110,scott.elliff@ccisd.us,www.ccisd.us,(361) 886-9002,(361) 886-9109,MR D SCOTT ELLIFF   ,,,Superintendent,Nueces,178,2
Annunciation Orthodox School,101181101,FALSE,3600 Yoakum,Houston,TX,77006,sfragomeni@aoshouston.org,www.aoshouston.org,(713) 470-5600,(713) 470-5605,Sam Fragomeni,,,,Pre-K,8,709,ISAS : 1989 | ISAS : 1999 | ISAS : 2009,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Antonian College Preparatory High School,15100001,FALSE,6425 West Ave,San Antonio,TX,78213,tpetersen@antonian.org,www.Antonian.org,(210) 344-9265,(210) 344-9267,Tim Petersen,,,,9,12,775,COGNIA : 1985 | TCCB ED : 1985,Archdiocese of San Antonio,ST,6425 West Ave,San Antonio,TX,78213,tpetersen@antonian.org,www.Antonian.org,(210) 344-9265,(210) 344-9267,Tim Petersen,,,,NORTH EAST ISD,15910,INDEPENDENT,67901,8961 TESORO DR,SAN ANTONIO,TX,78217,bgotta@neisd.net,www.neisd.net,(210) 407-0541,(210) 804-7017,DR BRIAN GOTTARDY   ,,,Superintendent,Bexar,15,20
Applegate SDA School,246178101,FALSE,P O BOX 729,Round Rock,TX,78680,sramsarran@swrgc.org,roundrock22.adventistchurchconnect.org,(512) 388-7870,(512) 388-1507,Ingrid Stanley,,,,Pre-K,8,0,TSDA : 1993,,,,,,,,,,,,,,,ROUND ROCK ISD,246909,INDEPENDENT,45749,1311 ROUND ROCK AVE,ROUND ROCK,TX,78681-4941,superintendent_rrisd@roundrockisd.org,www.roundrockisd.org,(512) 464-5022,(512) 464-5055,DR JESUS CHAVEZ   ,,,Superintendent,Williamson,246,13
Arbor Christian Academy,191120001,TRUE,5000 Hollywood RD,Amarillo,TX,79118,georgemalkuch@tfchurch.org,www.arborchristianacademy.com,(806) 355-7207,(806) 353-8969,George Malkuch,,,,Kindergarten,12,0,ACSI : 1994,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Randall,191,
Arcadia First Baptist Christian School,84200001,FALSE,P.O. Box 14828 14828 Highway 6,Santa Fe,TX,77517,reggie@arcadiafbc.org,www.afbcs.org,(409) 925-2825,(409) 925-5053,Reginald Crosby,,,,Kindergarten,12,161,ACTABS : 2015,,,,,,,,,,,,,,,SANTA FE ISD,84909,INDEPENDENT,4676,P O BOX 370,SANTA FE,TX,77510-0370,webmaster@sfisd.org,www.sfisd.org,(409) 925-3526,(409) 925-4002,DR ELIZABETH L WALL   ,,,Superintendent,Galveston,84,4
Ascension Academy,188190001,FALSE,9301 Ascension Parkway,Amarillo,TX,79101,wsummerhill@ascensionacademy.org,http://www.ascensionacademy.org/,(806) 342-0515,(806) 342-0535,William Summerhill,,,,6,12,210,COGNIA : 2003 | SAIS : 2009,,,,,,,,,,,,,,,CANYON ISD,191901,INDEPENDENT,9224,P O BOX 899,CANYON,TX,79015-0899,lisa@canyonisd.net,www.canyonisd.net,(806) 677-2600,(806) 677-2659,MICHAEL L WARTES   ,,,Superintendent,Randall,191,16
Ascension Episcopal School Houston,101135101,FALSE,2525 Seagler,Houston,TX,77042,kcockrell@aeshouston.org,www.ascensionschool.net,(713) 783-0260,(713) 787-9162,Kayla Cockrell,,,,Pre-K,Pre-K,150,SAES : 1993,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Assumption Catholic School,101100041,FALSE,801 Roselane St.,Houston,TX,77037,jbates@assumption.org,www.seatoncatholic.org,(281) 447-2132,(281) 447-1825,John Williams Bates,,,,Pre-K,8,212,TCCB ED : 1968,Archdiocese of Galveston-Houston,GH,801 Roselane St.,Houston,TX,77037,jbates@assumption.org,www.seatoncatholic.org,(281) 447-2132,(281) 447-1825,John Williams Bates,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
